Altium Designer Pick and Place Locations
C:\!MEGA\!myFiles\ArianSat-Stratosphere\SubSystems\Electrical Power System\Hardware\EPS_V1\Project Outputs for EPS_V1\3D_and_pcb\Pick Place\Pick Place for EPS_V1.csv

========================================================================================================================
File Design Information:

Date:       08.12.21
Time:       21:57
Revision:   3ab7c01bde7538eaebc878f58e7deedc58f4c754
Variant:    No variations
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"B1","6.0304","41.4516","TopLayer","90"
"BAT1","55.6615","44.0200","BottomLayer","0"
"BAT2","76.8775","44.0200","BottomLayer","0"
"BAT3","34.4454","44.0200","BottomLayer","180"
"BAT4","13.2294","44.0200","BottomLayer","180"
"C1","21.0820","17.7650","TopLayer","90"
"C2","27.1018","16.3426","TopLayer","90"
"C3","21.0820","15.7410","TopLayer","90"
"C4","23.1902","14.1074","TopLayer","180"
"C5","44.0466","19.4516","TopLayer","90"
"C6","50.0517","18.0504","TopLayer","90"
"C7","44.0466","17.4196","TopLayer","90"
"C8","46.1112","15.9374","TopLayer","180"
"C9","59.4614","17.5768","TopLayer","0"
"C10","74.6066","22.7977","TopLayer","90"
"C11","30.4048","66.3148","TopLayer","180"
"C12","9.0932","66.3702","TopLayer","180"
"C13","45.3456","47.9583","TopLayer","270"
"C14","54.1035","48.7850","TopLayer","270"
"C15","49.1406","47.4793","TopLayer","0"
"C16","51.8039","49.3407","TopLayer","90"
"C17","53.1114","62.2300","TopLayer","270"
"C18","32.4811","45.5471","TopLayer","270"
"C19","38.9559","47.0658","TopLayer","90"
"C20","40.2332","59.9948","TopLayer","270"
"C21","36.3978","56.0324","TopLayer","0"
"C22","40.3716","63.1215","TopLayer","135"
"C23","36.4099","63.8758","TopLayer","0"
"C24","40.7668","57.0230","TopLayer","0"
"C25","34.1829","53.8529","TopLayer","0"
"C26","33.1098","50.5742","TopLayer","0"
"C27","31.9018","48.3496","TopLayer","180"
"C28","30.3414","48.8921","TopLayer","90"
"C29","43.9166","59.5708","TopLayer","90"
"C30","24.3571","33.4499","TopLayer","270"
"C31","27.0132","31.1992","TopLayer","180"
"C32","38.7632","24.1992","TopLayer","180"
"C33","30.5132","36.6992","TopLayer","270"
"C34","32.6390","37.3380","TopLayer","180"
"C35","27.1780","28.4480","TopLayer","0"
"C36","41.0884","34.8114","TopLayer","90"
"C37","39.0132","25.9492","TopLayer","0"
"C38","73.5330","34.9250","TopLayer","0"
"C39","82.8946","35.7860","TopLayer","180"
"C40","83.7836","31.3014","TopLayer","270"
"C41","83.0978","40.0532","TopLayer","90"
"C42","81.9330","34.6954","TopLayer","180"
"C43","79.6796","39.6870","TopLayer","0"
"C44","72.0234","32.8142","TopLayer","0"
"C45","63.6993","26.2718","TopLayer","90"
"C46","77.5856","39.6870","TopLayer","180"
"C47","73.3552","37.2792","TopLayer","90"
"C48","70.9347","26.6764","TopLayer","180"
"C49","31.2260","57.2278","TopLayer","90"
"C50","73.2713","52.1191","TopLayer","270"
"C51","75.4557","48.4757","TopLayer","90"
"C52","74.8715","52.1445","TopLayer","270"
"C53","73.8555","48.4757","TopLayer","90"
"C54","72.3423","48.4538","TopLayer","90"
"C55","80.6970","60.3347","TopLayer","0"
"C56","80.6614","58.7372","TopLayer","0"
"C57","74.3204","64.2366","TopLayer","0"
"C58","61.9762","77.3684","TopLayer","90"
"C59","68.7591","24.8205","TopLayer","90"
"C60","42.5196","46.1772","TopLayer","270"
"C61","36.2059","45.0658","TopLayer","0"
"C62","49.0982","58.1406","TopLayer","0"
"C63","52.2878","66.0683","TopLayer","180"
"C64","48.0060","64.8462","TopLayer","90"
"C65","53.5940","59.2328","TopLayer","0"
"C66","46.9538","56.2641","TopLayer","0"
"C67","45.8536","52.9875","TopLayer","0"
"C68","44.7106","50.8285","TopLayer","180"
"C69","43.1546","50.7746","TopLayer","90"
"C70","65.7606","23.2156","TopLayer","180"
"C71","67.1576","13.8684","TopLayer","0"
"C72","49.5300","26.5288","BottomLayer","90"
"C73","23.8738","47.8807","BottomLayer","180"
"C74","23.8297","62.6491","BottomLayer","180"
"C75","24.7396","59.2836","BottomLayer","225"
"C76","23.8134","74.5086","BottomLayer","270"
"C77","46.9392","28.4734","BottomLayer","0"
"C78","43.7896","29.8196","BottomLayer","0"
"C79","44.0182","28.4988","BottomLayer","0"
"C80","27.9204","42.0548","BottomLayer","90"
"C81","27.0764","45.6438","BottomLayer","270"
"C82","21.8694","44.7294","BottomLayer","0"
"C83","21.7090","46.0248","BottomLayer","0"
"C84","45.4326","68.6562","BottomLayer","180"
"C85","19.4310","54.3852","TopLayer","90"
"C86","11.1506","46.0756","TopLayer","0"
"C87","49.0982","60.2742","TopLayer","0"
"C88","49.0982","59.2074","TopLayer","0"
"C89","36.3978","57.0992","TopLayer","0"
"C90","36.4058","58.1406","TopLayer","0"
"C91","11.7348","26.4160","TopLayer","90"
"C92","10.0216","31.1186","TopLayer","270"
"C93","11.7094","31.2928","TopLayer","270"
"C94","54.9614","32.2401","TopLayer","45"
"C95","53.5137","30.8054","TopLayer","45"
"FLT1","26.8610","29.5288","TopLayer","180"
"G1","26.7632","33.9492","TopLayer","90"
"L1","50.6984","54.8640","TopLayer","0"
"L2","37.9167","52.7493","TopLayer","0"
"L3","76.6462","28.2422","TopLayer","90"
"L4","80.2702","55.8546","TopLayer","90"
"R1","18.9992","18.4508","TopLayer","0"
"R2","19.6342","16.1394","TopLayer","90"
"R3","27.1018","18.3746","TopLayer","90"
"R4","20.2550","13.9042","TopLayer","0"
"R5","41.8114","20.0866","TopLayer","0"
"R6","42.5734","17.8768","TopLayer","90"
"R7","50.0664","20.2390","TopLayer","90"
"R8","43.1688","15.5908","TopLayer","0"
"R9","47.4726","53.4924","TopLayer","90"
"R10","41.5798","51.1810","TopLayer","0"
"R11","47.4726","59.8937","TopLayer","270"
"R12","47.4726","57.8447","TopLayer","270"
"R13","9.8316","49.4106","TopLayer","0"
"R14","47.4726","61.9426","TopLayer","270"
"R15","7.0887","56.4361","TopLayer","270"
"R16","61.0174","23.8663","TopLayer","90"
"R17","58.9962","26.2636","TopLayer","0"
"R18","74.0664","24.2570","TopLayer","180"
"R19","69.3843","22.3101","TopLayer","90"
"R20","29.0915","63.9256","TopLayer","270"
"R21","31.0014","61.4687","TopLayer","180"
"R22","7.8498","63.9254","TopLayer","270"
"R23","9.7539","61.3962","TopLayer","180"
"R24","50.6730","63.2212","TopLayer","90"
"R25","46.9458","55.1719","TopLayer","0"
"R26","45.8536","54.0797","TopLayer","0"
"R27","47.0220","47.4793","TopLayer","180"
"R28","37.7787","61.0409","TopLayer","90"
"R29","34.1655","52.7607","TopLayer","0"
"R30","33.1098","51.6726","TopLayer","0"
"R31","34.1321","45.0531","TopLayer","180"
"R32","31.9029","49.4132","TopLayer","0"
"R33","61.5696","5.1308","TopLayer","270"
"R34","58.5724","6.8326","TopLayer","0"
"R35","16.9983","40.4136","TopLayer","225"
"R36","18.7706","42.1386","TopLayer","225"
"R37","82.8946","36.8782","TopLayer","0"
"R38","84.6044","42.0852","TopLayer","0"
"R39","82.8946","37.9958","TopLayer","0"
"R40","34.3154","79.5700","TopLayer","90"
"R41","72.2046","28.8301","TopLayer","180"
"R42","77.5856","40.7900","TopLayer","180"
"R43","79.6796","40.7900","TopLayer","180"
"R44","35.5502","79.5700","TopLayer","90"
"R45","74.8284","54.5004","TopLayer","270"
"R46","73.2282","55.0418","TopLayer","0"
"R47","76.8749","64.2190","TopLayer","180"
"R48","73.6520","65.8114","TopLayer","0"
"R49","9.1694","79.9084","TopLayer","270"
"R50","74.8458","5.6896","TopLayer","0"
"R51","34.6960","51.1302","TopLayer","90"
"R52","29.0670","59.2853","TopLayer","90"
"R53","34.7566","57.4057","TopLayer","270"
"R54","34.7820","55.3736","TopLayer","270"
"R55","55.6975","31.5071","TopLayer","45"
"R56","54.2643","30.0793","TopLayer","45"
"R57","35.1024","59.6392","TopLayer","270"
"R58","30.1338","59.2425","TopLayer","270"
"R59","82.9818","70.4850","BottomLayer","270"
"R60","82.9820","72.4408","BottomLayer","90"
"R61","79.6544","6.5278","TopLayer","0"
"R62","27.7723","5.1811","TopLayer","270"
"R63","44.7106","51.9461","TopLayer","0"
"R64","35.4330","4.4958","TopLayer","270"
"R65","14.5542","5.2324","TopLayer","270"
"R66","25.7810","47.4980","BottomLayer","90"
"R67","21.3694","47.7774","BottomLayer","0"
"R68","20.5486","51.2064","BottomLayer","270"
"R69","26.3398","62.5856","BottomLayer","180"
"R70","30.1338","57.2278","TopLayer","270"
"R71","32.5722","53.3591","TopLayer","270"
"R72","29.0162","57.2278","TopLayer","270"
"R73","31.4702","51.1810","TopLayer","270"
"R74","24.4326","57.3549","BottomLayer","270"
"R75","21.3360","62.5856","BottomLayer","0"
"R76","20.5232","64.2874","BottomLayer","270"
"R77","23.3150","57.3549","BottomLayer","90"
"R78","18.1102","6.1468","TopLayer","90"
"R79","24.3722","72.0956","BottomLayer","270"
"R80","42.7736","61.8318","TopLayer","270"
"R81","42.7736","59.5708","TopLayer","270"
"R82","23.2546","72.0956","BottomLayer","90"
"R83","44.2214","53.5940","TopLayer","270"
"R84","41.6306","59.5708","TopLayer","270"
"R85","45.1358","55.7958","TopLayer","270"
"R86","63.9318","59.8424","BottomLayer","270"
"R87","63.9825","68.5148","BottomLayer","90"
"R88","67.7170","71.3646","TopLayer","90"
"R89","64.2622","75.1666","TopLayer","90"
"R90","67.7166","75.3952","TopLayer","270"
"R91","67.7166","73.3712","TopLayer","270"
"R92","67.7166","77.4272","TopLayer","270"
"R93","63.1192","77.3684","TopLayer","90"
"R94","63.1190","75.1666","TopLayer","270"
"R95","65.5322","71.3312","TopLayer","270"
"R96","61.9760","75.1666","TopLayer","270"
"R97","66.6244","71.3392","TopLayer","270"
"R98","70.3578","25.3746","TopLayer","180"
"R99","70.3578","24.2570","TopLayer","180"
"R100","69.9770","79.2226","TopLayer","90"
"R101","70.5612","71.9328","TopLayer","180"
"R102","73.9140","76.5556","TopLayer","0"
"R103","12.2936","52.7068","TopLayer","270"
"R104","13.3604","62.8730","TopLayer","270"
"R105","10.2108","43.9500","TopLayer","270"
"R106","10.6934","42.2910","TopLayer","180"
"R107","14.6812","45.5502","TopLayer","90"
"R108","13.5636","46.6090","TopLayer","90"
"R109","30.5308","6.4262","TopLayer","90"
"R110","38.1508","79.5700","TopLayer","90"
"R111","62.1369","80.3148","TopLayer","0"
"R112","62.1284","79.1210","TopLayer","0"
"R113","29.3306","5.4544","TopLayer","90"
"R114","36.9062","79.5700","TopLayer","90"
"R115","25.4762","80.1116","TopLayer","90"
"R116","29.1846","80.1116","TopLayer","90"
"R117","21.6408","30.6578","TopLayer","180"
"R118","10.2454","27.6432","TopLayer","270"
"R119","11.7107","28.8108","TopLayer","270"
"R120","4.9739","10.9339","TopLayer","180"
"R121","8.0264","20.9296","TopLayer","90"
"R122","9.8806","17.2386","TopLayer","90"
"R123","7.5150","11.0219","TopLayer","180"
"R124","25.7810","74.0410","BottomLayer","90"
"R125","79.9846","42.0624","TopLayer","180"
"R126","82.1690","42.0624","TopLayer","180"
"R127","77.2414","41.9100","TopLayer","180"
"U1","24.1838","16.6676","TopLayer","0"
"U2","46.9930","18.4456","TopLayer","0"
"U3","59.2187","23.7998","TopLayer","90"
"U4","71.8566","22.4903","TopLayer","180"
"U5","30.8842","63.8987","TopLayer","270"
"U6","9.6603","63.9051","TopLayer","270"
"U7","48.0252","50.0411","TopLayer","180"
"U8","32.6738","59.3361","TopLayer","180"
"U9","35.1409","47.5658","TopLayer","180"
"U10","35.7632","31.6992","TopLayer","0"
"U11","78.8162","36.8046","TopLayer","180"
"U12","75.4888","59.6900","TopLayer","180"
"U13","45.6946","58.8518","TopLayer","90"
"U14","45.3390","61.7982","TopLayer","180"
"U15","45.1104","23.7744","BottomLayer","0"
"U16","23.8760","52.4002","BottomLayer","180"
"U17","23.8271","67.1172","BottomLayer","180"
"U18","32.9786","56.1865","TopLayer","90"
"U19","23.5288","39.6572","BottomLayer","0"
"U20","65.9894","74.0998","TopLayer","90"
"U21","65.5068","77.3002","TopLayer","180"
"U22","66.3194","25.1460","TopLayer","0"
"U23","67.2068","15.9913","TopLayer","0"
"U24","45.4914","65.1256","BottomLayer","180"
"U25","16.3322","28.8036","TopLayer","90"
"USB1","84.8285","71.2216","TopLayer","90"
"VD1","85.2314","38.8848","TopLayer","270"
"VD2","75.2745","37.0440","TopLayer","90"
"VD3","76.9366","53.1876","TopLayer","270"
"VD4","12.2936","58.4962","TopLayer","270"
"VD5","12.0142","40.7416","TopLayer","0"
"VD6","13.3401","38.0256","TopLayer","270"
"VD7","20.7010","37.3380","TopLayer","270"
"VD8","18.0092","33.9492","TopLayer","90"
"VT1","42.1894","53.6448","TopLayer","180"
"VT2","6.8355","52.4069","TopLayer","270"
"VT3","6.8355","48.1505","TopLayer","90"
"VT4","80.8499","32.3530","TopLayer","0"
"VT5","76.7162","32.3407","TopLayer","0"
"VT6","30.0642","54.2392","TopLayer","0"
"VT7","61.4782","7.8834","TopLayer","270"
"VT8","79.5782","3.5560","TopLayer","90"
"VT9","33.0708","4.5212","TopLayer","0"
"VT10","20.7997","6.2054","TopLayer","180"
"VT11","66.2726","61.8109","BottomLayer","90"
"VT12","66.2940","68.5546","BottomLayer","90"
"VT13","63.2208","72.1948","TopLayer","180"
"VT14","69.9770","74.5998","TopLayer","90"
"VT15","73.6346","74.2188","TopLayer","90"
"VT16","19.2532","62.4586","TopLayer","180"
"VT17","15.6626","64.3150","TopLayer","0"
"VT18","13.4874","43.4848","TopLayer","270"
"VT19","22.2758","28.4480","TopLayer","180"
"X1","45.0596","6.3500","TopLayer","0"
"X2","3.7839","26.7465","TopLayer","270"
"X3","70.0532","3.9624","TopLayer","0"
"X4","86.2657","81.8456","TopLayer","90"
"X5","45.7114","87.0020","TopLayer","0"
"X6","83.8962","48.4886","TopLayer","90"
"X7","3.9731","75.5293","TopLayer","270"
"X8","86.2076","23.0124","TopLayer","90"
"X9","86.3600","13.8176","TopLayer","90"
"X10","9.2202","84.2264","TopLayer","90"
"X11","62.2300","4.0640","BottomLayer","180"
"X12","74.9300","4.0640","BottomLayer","180"
"X13","27.8430","4.0640","BottomLayer","180"
"X14","15.2400","4.0640","BottomLayer","180"
"X15","6.7564","15.6972","TopLayer","270"
